NOMBRE_PERFIL;ID_PERFIL;FECHA;TOTAL
LIBÉLULA ;6;23/02/2018;15.9
TIBURÓN MAKO ;7;23/02/2018;47.8
CERCETA COMÚN ;8;23/02/2018;47.6
GUEPARDO;9;23/02/2018;15.9
PEZ VELA ;10;23/02/2018;15.9
COLIBRÍ ;11;23/02/2018;47.8
BERRENDO ;12;23/02/2018;39.8
ARDILLA DE LAS CAROLINAS ;13;23/02/2018;8.0
AVESTRUZ ;14;23/02/2018;23.8
ESCARABAJO TIGRE ;1;24/02/2018;71.8
HALCÓN PEREGRINO ;2;24/02/2018;6.0
ÁGUILA REAL ;3;24/02/2018;59.8
ALCATRAZ ATLÁNTICO ;4;24/02/2018;23.9
LEÓN ;15;24/02/2018;6.0
PATO SERRUCHO ;5;24/02/2018;6.0
LIBÉLULA ;6;24/02/2018;6.0
TIBURÓN MAKO ;7;24/02/2018;12.0
CERCETA COMÚN ;8;24/02/2018;23.9
GUEPARDO;9;24/02/2018;6.0
PEZ VELA ;10;24/02/2018;6.0
BERRENDO ;12;24/02/2018;12.0
AVESTRUZ ;14;24/02/2018;12.0
COLIBRÍ ;11;24/02/2018;12.0
TIBURÓN MAKO ;7;25/02/2018;23.9
CERCETA COMÚN ;8;25/02/2018;12.0
PEZ VELA ;10;25/02/2018;6.0
GUEPARDO;9;25/02/2018;6.0
LIBÉLULA ;6;25/02/2018;6.0
COLIBRÍ ;11;25/02/2018;23.9
BERRENDO ;12;25/02/2018;18.0
ARDILLA DE LAS CAROLINAS ;13;25/02/2018;6.0
AVESTRUZ ;14;25/02/2018;6.0
ESCARABAJO TIGRE ;1;26/02/2018;95.8
HALCÓN PEREGRINO ;2;26/02/2018;8.0
ÁGUILA REAL ;3;26/02/2018;79.8
ALCATRAZ ATLÁNTICO ;4;26/02/2018;31.9
LEÓN ;15;26/02/2018;8.0
PATO SERRUCHO ;5;26/02/2018;8.0
LIBÉLULA ;6;26/02/2018;16.0
TIBURÓN MAKO ;7;26/02/2018;47.9
CERCETA COMÚN ;8;26/02/2018;47.9
GUEPARDO;9;26/02/2018;16.0
PEZ VELA ;10;26/02/2018;16.0
COLIBRÍ ;11;26/02/2018;47.9
BERRENDO ;12;26/02/2018;39.9
ARDILLA DE LAS CAROLINAS ;13;26/02/2018;8.0
AVESTRUZ ;14;26/02/2018;24.0
ESCARABAJO TIGRE ;1;27/02/2018;95.8
HALCÓN PEREGRINO ;2;27/02/2018;8.0
ÁGUILA REAL ;3;27/02/2018;79.8
ALCATRAZ ATLÁNTICO ;4;27/02/2018;31.9
LEÓN ;15;27/02/2018;8.0
PATO SERRUCHO ;5;27/02/2018;8.0
LIBÉLULA ;6;27/02/2018;16.0
TIBURÓN MAKO ;7;27/02/2018;47.9
CERCETA COMÚN ;8;27/02/2018;47.9
GUEPARDO;9;27/02/2018;16.0
PEZ VELA ;10;27/02/2018;16.0
COLIBRÍ ;11;27/02/2018;47.9
BERRENDO ;12;27/02/2018;39.9
ARDILLA DE LAS CAROLINAS ;13;27/02/2018;8.0
AVESTRUZ ;14;27/02/2018;24.0
ESCARABAJO TIGRE ;1;28/02/2018;95.8
HALCÓN PEREGRINO ;2;28/02/2018;8.0
ÁGUILA REAL ;3;28/02/2018;79.8
ALCATRAZ ATLÁNTICO ;4;28/02/2018;31.9
LEÓN ;15;28/02/2018;8.0
PATO SERRUCHO ;5;28/02/2018;8.0
LIBÉLULA ;6;28/02/2018;16.0
TIBURÓN MAKO ;7;28/02/2018;47.9
CERCETA COMÚN ;8;28/02/2018;47.9
GUEPARDO;9;28/02/2018;16.0
PEZ VELA ;10;28/02/2018;16.0
COLIBRÍ ;11;28/02/2018;47.9
BERRENDO ;12;28/02/2018;39.9
ARDILLA DE LAS CAROLINAS ;13;28/02/2018;8.0
AVESTRUZ ;14;28/02/2018;24.0
